nitiji,kennsuu,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:30,19:00,23:59
2016/12/01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016/12/02,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2016/12/03,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016/12/05,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016/12/06,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016/12/07,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/08,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016/12/12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016/12/14,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016/12/15,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2016/12/16,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016/12/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/29,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016/12/30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016/12/31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/01/02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/01/22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/01/25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/02/08,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/02/09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/02/10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/02/14,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/02/15,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2017/02/16,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2017/02/17,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2017/02/18,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017/02/19,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017/02/20,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/02/21,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/02/22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/02/23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/02/24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017/03/09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/03/10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/03/11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/03/12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/03/13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/03/14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/03/23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
